date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:19	226/226	---M-Z	200	added ('OK')	text/plain	date:Sat,%2016%20Jan%202021%2009:00:17%20GMT	https://c.programmingpedia.net/robots.txt		(from )
12:00:19	36933/36933	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2009:00:18%20GMT	https://c.programmingpedia.net/	/home/zekid/websites/https://c.programmingpedia.net/c.programmingpedia.net/index.html	(from )
12:00:20	3678/3678	---M-Z	200	added ('OK')	text/css	etag:%22f4a9b954b0ffd51:0%22	https://c.programmingpedia.net/styles/master.min.css?v=todo	/home/zekid/websites/https://c.programmingpedia.net/c.programmingpedia.net/styles/master.min0e4d.css	(from https://c.programmingpedia.net/)
12:00:21	40329/40329	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2009:00:20%20GMT	https://c.programmingpedia.net/en/knowledge-base	/home/zekid/websites/https://c.programmingpedia.net/c.programmingpedia.net/en/knowledge-base.html	(from https://c.programmingpedia.net/)
12:00:37	3420/3420	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sat,%2016%20Jan%202021%2009:00:36%20GMT	https://c.programmingpedia.net/en/awesome-learning/book	/home/zekid/websites/https://c.programmingpedia.net/c.programmingpedia.net/en/awesome-learning/book.2.delayed	(from https://c.programmingpedia.net/)
12:00:39	27026/27026	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2009:00:37%20GMT	https://c.programmingpedia.net/en/tutorial/6846/-ctype-h----character-classification---conversion	/home/zekid/websites/https://c.programmingpedia.net/c.programmingpedia.net/en/tutorial/6846/-ctype-h----character-classification---conversion.html	(from https://c.programmingpedia.net/)
12:00:40	29538/29538	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2009:00:38%20GMT	https://c.programmingpedia.net/en/tutorial/1301/aliasing-and-effective-type	/home/zekid/websites/https://c.programmingpedia.net/c.programmingpedia.net/en/tutorial/1301/aliasing-and-effective-type.html	(from https://c.programmingpedia.net/)
12:00:41	46794/46794	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2009:00:41%20GMT	https://c.programmingpedia.net/en/tutorial/322/arrays	/home/zekid/websites/https://c.programmingpedia.net/c.programmingpedia.net/en/tutorial/322/arrays.html	(from https://c.programmingpedia.net/)
12:00:42	30938/30938	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2009:00:41%20GMT	https://c.programmingpedia.net/en/tutorial/555/assertion	/home/zekid/websites/https://c.programmingpedia.net/c.programmingpedia.net/en/tutorial/555/assertion.html	(from https://c.programmingpedia.net/)
12:00:43	20418/20418	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2009:00:43%20GMT	https://c.programmingpedia.net/en/tutorial/4924/atomics	/home/zekid/websites/https://c.programmingpedia.net/c.programmingpedia.net/en/tutorial/4924/atomics.html	(from https://c.programmingpedia.net/)
